Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,"Apple iPhone 5S(Silver, 16 GB)","21,499",5721,http://img6a.flixcart.com/image/mobile/4/y/h/apple-iphone-5s-400x400-imadpppch2n6hhux.jpeg,http://www.flipkart.com/apple-iphone-5s/p/itme8ra4f4twtsva?pid=MOBDPPZZVUJRG582&al=tDFq6faapdn8eq0nDtITD8ldugMWZuE7Qdj0IGOOVqvDj3e8cDqavFQ4Sek8iaxZaKorc8m1Mm0%3D&ref=L%3A7850700556444911396&srno=p_1&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,"Apple iPhone 5S(Space Grey, 16 GB)","21,279",5721,http://img6a.flixcart.com/image/mobile/z/h/f/apple-iphone-5s-400x400-imadpppc54zfpj9c.jpeg,http://www.flipkart.com/apple-iphone-5s/p/itme8ra4f4twtsva?pid=MOBDPPZZPXVDJHSQ&al=tDFq6faapdn8eq0nDtITD8ldugMWZuE7Qdj0IGOOVqvIkJavrmo6pKaazzsucdGi6bxE2a30uOQ%3D&ref=L%3A7850700556444911396&srno=p_2&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,"Apple iPhone 5S(Space Grey, 32 GB)","29,490",280,http://img6a.flixcart.com/image/mobile/z/h/f/apple-iphone-5s-400x400-imadpppc54zfpj9c.jpeg,http://www.flipkart.com/apple-iphone-5s/p/itme8ms8gvttwhev?pid=MOBDPPZZXGKPFZN3&al=tDFq6faapdn8eq0nDtITD8ldugMWZuE7Qdj0IGOOVqvatIS1NK0SQ9CPWyfQTOz6e%2B3kbt18e6A%3D&ref=L%3A7850700556444911396&srno=p_3&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,"Apple iPhone 5S(Silver, 32 GB)","28,929",128,http://img6a.flixcart.com/image/mobile/4/y/h/apple-iphone-5s-400x400-imadpppch2n6hhux.jpeg,http://www.flipkart.com/apple-iphone-5s/p/itme8mrumyn4mr8y?pid=MOBDPPZZMY4DF4YH&al=tDFq6faapdn8eq0nDtITD8ldugMWZuE7Qdj0IGOOVqs1XJrAidGTjwTU86oX5zkMGsoP5ZidFMY%3D&ref=L%3A7850700556444911396&srno=p_4&findingMethod=Search&otracker=start
Flipkart,http://c223968.r68.cf1.rackcdn.com/flipkart_store.png,"Apple iPhone 5S(Gold, 16 GB)","29,500",5721,http://img6a.flixcart.com/image/mobile/4/u/g/apple-iphone-5s-400x400-imadpppc9k3gzdjz.jpeg,http://www.flipkart.com/apple-iphone-5s/p/itme8ra4f4twtsva?pid=MOBDPPZZDX8WSPAT&al=tDFq6faapdn8eq0nDtITD8ldugMWZuE7Qdj0IGOOVqsKBydC6PSeAlrCQbB2r3vbBs3FYOCZL8I%3D&ref=L%3A7850700556444911396&srno=p_5&findingMethod=Search&otracker=start
Snapdeal,http://c223968.r68.cf1.rackcdn.com/snapdeal_store.png,"iPhone 5S (16GB, Space Gray)","21,800",7065,http://n2.sdlcdn.com/imgs/a/j/x/Apple-iPhone-5S-16-GB-SDL218647224-1-a4b59.jpg,http://www.snapdeal.com/product/apple-iphone-5s-16-gb/1204769399#bcrumbSearch:Apple%20iPhone%205S
Snapdeal,http://c223968.r68.cf1.rackcdn.com/snapdeal_store.png,"iPhone 5S (16GB, Silver)","22,099",8166,http://n3.sdlcdn.com/imgs/b/u/2/iphone5ssilver-9dd62.jpg,http://www.snapdeal.com/product/apple-iphone-5s-16-gb/347830397#bcrumbSearch:Apple%20iPhone%205S
Snapdeal,http://c223968.r68.cf1.rackcdn.com/snapdeal_store.png,"iPhone 5S (16GB, Gold)","29,265",941,http://n4.sdlcdn.com/imgs/a/j/x/Apple-iPhone-5S-16-GB-SDL218153659-1-d5617.jpg,http://www.snapdeal.com/product/apple-iphone-5s-16-gb/1302850866#bcrumbSearch:Apple%20iPhone%205S
Snapdeal,http://c223968.r68.cf1.rackcdn.com/snapdeal_store.png,"iPhone 5S (32GB, Silver)","29,999",7183,http://n2.sdlcdn.com/imgs/b/x/u/iphone5ssilxcxcx-5c5bf.jpg,http://www.snapdeal.com/product/apple-iphone-5s-32-gb/2063255917#bcrumbSearch:Apple%20iPhone%205S
Amazon,http://c223968.r68.cf1.rackcdn.com/amazon_store.png,"Apple iPhone 5s (Silver, 16GB)","21,200",4843,http://ecx.images-amazon.com/images/I/71yZcobCGpL._SL1500_.jpg,http://www.amazon.in/Apple-iPhone-5s-Silver-16GB/dp/B00FXLCG7G/ref=sr_1_3?ie=UTF8&qid=1467373249&sr=8-3&keywords=Apple+iPhone+5S
Amazon,http://c223968.r68.cf1.rackcdn.com/amazon_store.png,"Apple iPhone 5s (Space Grey, 16GB)","21,700",4843,http://ecx.images-amazon.com/images/I/61pNCtIdQUL._SL1100_.jpg,http://www.amazon.in/Apple-iPhone-5s-Space-Grey/dp/B00FXLC9V4/ref=sr_1_4?ie=UTF8&qid=1467373249&sr=8-4&keywords=Apple+iPhone+5S
Amazon,http://c223968.r68.cf1.rackcdn.com/amazon_store.png,"Apple iPhone 5s (Silver, 32GB)","29,999",4843,http://ecx.images-amazon.com/images/I/71yZcobCGpL._SL1500_.jpg,http://www.amazon.in/Apple-iPhone-5s-Silver-32GB/dp/B00FXLCOBY/ref=sr_1_5?ie=UTF8&qid=1467373249&sr=8-5&keywords=Apple+iPhone+5S
